# operator_convention: H_A(k)=H(k+A_x*xhat); Jx=dH/dA_x; Kxx=d2H/dA_x2
# omega Re_sigma_exact Im_sigma_exact Re_sigma_L Im_sigma_L Re_reg_exact Im_reg_exact Re_reg_L Im_reg_L
0.098 -1.1567625905519257 -1.9794312210454548 -1.1567625905519292 -1.9794312210454603 0.10077764255657892 -0.08344748497417083 0.10077764255658034 -0.08344748497416904
0.099 -1.1381118890846231 -1.9727112622212586 -1.1381118890846218 -1.9727112622212568 0.10176575840272237 -0.08428222989437863 0.10176575840272867 -0.0842822298943692
0.1 -1.1197586878088566 -1.9659312603348476 -1.1197586878088583 -1.9659312603348489 0.10277374689465893 -0.08511213002174696 0.10277374689466194 -0.08511213002174085
0.101 -1.1016967312157042 -1.959096296964131 -1.101696731215701 -1.9590962969641275 0.1038019436531094 -0.08593681755258971 0.10380194365311729 -0.08593681755257884
0.102 -1.0839198297849704 -1.9522111784584009 -1.0839198297849644 -1.9522111784583913 0.10485068656320858 -0.08675590665048949 0.10485068656321929 -0.08675590665047263
0.103 -1.0664218636445173 -1.945280445655012 -1.0664218636445164 -1.9452804456550097 0.10592031538052707 -0.08756899273840307 0.10592031538053265 -0.08756899273839355
0.104 -1.0491967858634368 -1.9383083832296442 -1.0491967858634341 -1.9383083832296377 0.10701117129749058 -0.0883756517721603 0.10701117129749767 -0.08837565177214664
0.105 -1.0322386254116385 -1.9312990286851792 -1.0322386254116362 -1.9312990286851752 0.10812359646754233 -0.08917543949573291 0.10812359646754932 -0.0891754394957219
0.106 -1.0155414898170305 -1.9242561809855558 -1.0155414898170292 -1.9242561809855514 0.10925793348401808 -0.0899678906792305 0.10925793348402402 -0.08996789067921894
0.107 -0.9990995675495632 -1.9171834088412445 -0.9990995675495657 -1.9171834088412478 0.11041452481087488 -0.09075251834021567 0.11041452481087674 -0.09075251834021175
0.108 -0.9829071301602113 -1.910084058654175 -0.9829071301602068 -1.9100840586541676 0.11159371216199322 -0.09152881294958894 0.1115937121620021 -0.0915288129495744
0.109 -0.9669585342012356 -1.9029612621300847 -0.9669585342012402 -1.9029612621300915 0.11279583582592874 -0.09229624162299382 0.11279583582592836 -0.0922962416229936
0.11 -0.9512482229531876 -1.8958179435676032 -0.951248222953189 -1.8958179435676024 0.11402123393241778 -0.09305424729965557 0.11402123393242083 -0.0930542472996476
0.111 -0.9357707279822166 -1.8886568268328536 -0.935770727982216 -1.8886568268328536 0.11527024165742507 -0.09380224790977335 0.11527024165742965 -0.09380224790976635
0.112 -0.9205206705507727 -1.8814804420300648 -0.9205206705507746 -1.8814804420300684 0.11654319036266945 -0.09453963553305696 0.11654319036267177 -0.0945396355330535
0.113 -0.9054927629030446 -1.874291131878078 -0.9054927629030418 -1.8742911318780724 0.11784040666606867 -0.09526577555023516 0.11784040666607543 -0.09526577555022243
0.114 -0.8906818094457585 -1.8670910578036968 -0.8906818094457536 -1.86709105780369 0.11916221143906273 -0.09598000579031805 0.1191622114390716 -0.09598000579030426
0.115 -0.8760827078439232 -1.8598822057631583 -0.8760827078439187 -1.8598822057631514 0.12050891872670763 -0.09668163567665752 0.12050891872671594 -0.09668163567664355
0.116 -0.8616904500499671 -1.852666391803123 -0.86169045004997 -1.8526663918031263 0.12188083458650739 -0.0973699453749529 0.12188083458650859 -0.09736994537494893
